,rate,다중이용시설,생활인구,코로나신규,평균가구,합계
강남구,9.7,2.4,10.0,34.0,13.8,70.0
강동구,19.8,3.6,6.3,34.0,13.8,77.6
강북구,4.8,2.3,3.6,20.7,12.7,44.1
강서구,30.6,3.6,6.8,25.8,13.3,80.0
관악구,15.3,2.3,5.9,25.8,11.0,60.3
광진구,11.6,1.3,4.6,18.3,12.7,48.5
구로구,25.7,2.7,5.2,27.9,13.8,75.4
금천구,22.3,0.7,3.0,16.2,12.1,54.2
노원구,5.1,5.0,6.2,34.9,14.4,65.7
도봉구,10.7,1.1,3.4,19.9,13.8,49.0
동대문구,18.6,1.5,4.5,25.2,12.7,62.5
동작구,13.9,4.0,4.8,18.0,12.7,53.4
마포구,8.5,1.8,5.7,21.0,12.7,49.6
서대문구,10.0,1.8,4.5,18.4,12.7,47.5
서초구,12.8,0.5,7.0,23.0,14.4,57.7
성동구,13.8,0.7,4.5,16.5,13.3,48.7
성북구,-0.2,1.6,5.2,25.9,13.3,45.8
송파구,11.4,1.4,9.3,40.0,13.8,76.0
양천구,13.8,2.9,4.8,27.4,15.0,63.9
영등포구,25.9,1.3,6.3,24.4,12.7,70.6
용산구,9.8,0.1,3.7,15.3,12.7,41.6
은평구,13.6,2.0,5.4,22.4,13.8,57.3
종로구,-1.9,1.1,3.5,8.6,12.1,23.4
중구,10.7,0.2,3.6,11.5,12.1,38.0
중랑구,9.9,2.4,4.4,26.2,13.3,56.1
