기준일ID,시군구코드,시군구명,총생활인구수,내국인생활인구수,장기체류외국인인구수,단기체류외국인인구수,일최대인구수,일최소인구수,주간인구수(09~18),야간인구수(19~08),일최대이동인구수,서울외유입인구수,동일자치구행정동간이동인구수,자치구간이동인구수
20220101,11000,서울시,10196141.50020,9719575.55540,385836.53410,90729.41080,10276441.32050,10098474.24190,10146069.10290,10231907.49830,4205665.91680,924139.71520,1921421.58850,1360104.61310
20220101,11110,종로구,230801.48440,213097.84100,14123.24800,3580.39540,270906.76340,208978.35780,250424.31950,216785.17370,141909.83430,36775.38200,27428.21200,77706.24030
20220101,11140,중구,199444.52690,173182.60460,15452.57080,10809.35150,226502.11420,175239.43810,215282.86040,188131.43150,122318.77530,31867.74750,26733.01480,63718.01300
20220101,11170,용산구,282168.58570,259807.97840,18425.93540,3934.67190,296450.70050,269669.93740,290036.17210,276548.88100,132700.42690,35321.15210,42334.30090,55044.97390
20220101,11200,성동구,331039.97300,313123.91840,14974.13750,2941.91720,339167.57940,328074.07570,330033.00540,331759.23560,142413.45620,25905.84830,55784.89070,60722.71720
20220101,11215,광진구,372264.16540,347452.02490,22320.14940,2491.99110,378016.80870,363901.75950,367616.92440,375583.62320,147034.95390,30459.43820,69934.60120,46640.91450
20220101,11230,동대문구,347739.60570,322558.59530,22907.83740,2273.17310,357341.13230,334536.95050,341720.00310,352039.32180,136582.75320,23780.35690,65208.00970,47594.38660
20220101,11260,중랑구,372821.01430,365588.40790,6182.88350,1049.72290,383126.92290,357288.63580,363732.01480,379313.15680,144750.06210,25397.67530,85864.61010,33487.77670
20220101,11290,성북구,424277.44340,408314.72680,13962.92460,1999.79210,436900.28410,402959.23210,412333.73020,432808.66720,152255.51470,22716.11460,78684.10430,50855.29580
20220101,11305,강북구,307706.54190,301684.27150,4961.81370,1060.45670,318654.60240,297586.00050,300197.96070,313069.81420,175290.00560,16375.26250,118459.34360,40455.39950
20220101,11320,도봉구,291020.22530,287589.61810,3009.70050,420.90670,297267.63500,284106.05570,287391.73510,293612.00390,128672.56900,21136.07090,68677.02800,38859.47010
20220101,11350,노원구,518326.71630,511273.80850,5380.06330,1672.84460,532551.94080,502780.06260,509024.04060,524971.48470,191541.60880,35458.16000,108117.14440,47966.30440
20220101,11380,은평구,458407.64900,451297.99140,5804.79480,1304.86280,478053.95870,433926.80040,443781.38020,468854.98400,159209.03080,31531.12020,94178.95060,33498.96000
20220101,11410,서대문구,347357.92690,326458.72190,17702.89600,3196.30900,354043.79560,337512.06590,341662.68600,351425.95610,147233.58590,26399.85180,63547.52220,57286.21190
20220101,11440,마포구,428128.09300,403903.18900,19024.11620,5200.78780,453659.97680,414537.85780,434713.54800,423424.19650,200804.76920,48123.41920,68170.17510,84511.17490
20220101,11470,양천구,391595.58350,382582.17360,5180.08550,3833.32440,403534.35830,376183.09240,383128.85240,397643.24850,140414.82570,28146.48750,65361.67820,46906.66000
20220101,11500,강서구,546642.56970,531188.09060,9068.45640,6386.02270,555676.80530,531910.01650,538613.73330,552377.45280,202418.69830,51241.69090,104606.41390,46570.59350
20220101,11530,구로구,419930.64430,375992.29620,38337.59680,5600.75130,430797.99500,407013.10360,413175.96410,424755.41590,161526.61260,47224.91510,71729.16290,42572.53460
20220101,11545,금천구,224056.95530,202115.96180,19388.26450,2552.72900,229027.12720,219200.73670,226404.92280,222379.83570,102543.19220,32682.50580,43133.47100,26727.21540
20220101,11560,영등포구,459316.68200,409119.35320,46545.10440,3652.22430,477382.51400,446941.20560,467331.75260,453591.63150,219394.76720,52654.85780,87613.93850,79125.97090
20220101,11590,동작구,388508.36100,371635.40930,13932.90630,2940.04530,402752.82220,369090.91550,377303.59820,396511.76300,137579.89400,26052.86880,61746.26880,49780.75640
20220101,11620,관악구,487834.67600,461316.97130,22336.01230,4181.69240,503342.86000,465227.17960,474406.32590,497426.35470,172841.67600,34098.09740,90053.59560,48689.98300
20220101,11650,서초구,471579.55640,456351.55970,10419.59910,4808.39760,482449.12300,455761.49540,479409.49400,465986.74390,199774.16990,50964.03460,71954.69100,76855.44430
