요일,시간대,카테고리,count
금요일,0,치킨,9223
금요일,0,야식,2586
금요일,0,족발보쌈,2140
금요일,0,한식,1849
금요일,0,분식,1597
금요일,0,피자양식,1477
금요일,0,회초밥,740
금요일,0,일식돈까스,691
금요일,0,버거,487
금요일,0,찜탕,438
금요일,0,카페디저트,391
금요일,0,중식,357
금요일,0,아시안,202
금요일,0,도시락죽,36
금요일,1,치킨,4903
금요일,1,야식,1517
금요일,1,족발보쌈,1065
금요일,1,한식,1041
금요일,1,피자양식,841
금요일,1,분식,829
금요일,1,일식돈까스,335
금요일,1,회초밥,298
금요일,1,찜탕,272
금요일,1,버거,248
금요일,1,카페디저트,223
금요일,1,중식,149
금요일,1,아시안,117
금요일,1,도시락죽,29
금요일,2,치킨,1841
금요일,2,야식,787
금요일,2,한식,671
금요일,2,족발보쌈,436
금요일,2,피자양식,389
금요일,2,분식,374
금요일,2,찜탕,149
금요일,2,버거,131
금요일,2,일식돈까스,127
금요일,2,카페디저트,111
금요일,2,회초밥,111
금요일,2,중식,43
금요일,2,도시락죽,19
금요일,2,아시안,12
금요일,3,치킨,517
금요일,3,한식,378
금요일,3,야식,362
금요일,3,피자양식,132
금요일,3,찜탕,130
금요일,3,족발보쌈,101
금요일,3,분식,93
금요일,3,버거,85
금요일,3,회초밥,82
금요일,3,카페디저트,68
금요일,3,중식,32
금요일,3,일식돈까스,17
금요일,3,아시안,9
금요일,4,한식,332
금요일,4,치킨,257
금요일,4,야식,249
금요일,4,찜탕,104
금요일,4,피자양식,93
금요일,4,버거,86
금요일,4,분식,74
금요일,4,족발보쌈,48
금요일,4,카페디저트,48
금요일,4,회초밥,45
금요일,4,일식돈까스,10
금요일,4,아시안,2
금요일,4,중식,1
금요일,5,한식,295
금요일,5,치킨,170
금요일,5,찜탕,126
금요일,5,야식,86
금요일,5,버거,80
금요일,5,분식,69
금요일,5,피자양식,65
금요일,5,카페디저트,29
금요일,5,족발보쌈,22
금요일,5,회초밥,19
금요일,5,일식돈까스,11
금요일,5,아시안,5
금요일,5,도시락죽,1
금요일,6,한식,327
금요일,6,치킨,124
금요일,6,찜탕,108
금요일,6,피자양식,72
금요일,6,버거,70
금요일,6,카페디저트,53
금요일,6,분식,50
금요일,6,야식,44
금요일,6,회초밥,31
금요일,6,일식돈까스,18
금요일,6,족발보쌈,13
금요일,6,아시안,5
금요일,6,도시락죽,1
금요일,7,한식,349
금요일,7,찜탕,188
금요일,7,피자양식,105
금요일,7,분식,90
금요일,7,버거,80
금요일,7,카페디저트,75
금요일,7,치킨,71
금요일,7,일식돈까스,29
금요일,7,회초밥,23
금요일,7,야식,22
금요일,7,족발보쌈,11
금요일,7,아시안,7
금요일,8,한식,437
금요일,8,찜탕,225
금요일,8,버거,191
금요일,8,카페디저트,147
금요일,8,피자양식,128
금요일,8,분식,99
금요일,8,일식돈까스,82
금요일,8,치킨,52
금요일,8,야식,22
금요일,8,아시안,20
금요일,8,회초밥,19
금요일,8,족발보쌈,11
금요일,8,중식,4
금요일,8,도시락죽,3
금요일,9,한식,1130
금요일,9,버거,709
금요일,9,분식,617
금요일,9,카페디저트,598
금요일,9,찜탕,468
금요일,9,피자양식,201
금요일,9,일식돈까스,157
금요일,9,야식,106
금요일,9,치킨,104
금요일,9,도시락죽,93
금요일,9,회초밥,50
금요일,9,아시안,41
금요일,9,중식,36
금요일,9,족발보쌈,33
금요일,10,카페디저트,3702
금요일,10,한식,3397
금요일,10,버거,3003
금요일,10,분식,2833
금요일,10,찜탕,1127
금요일,10,일식돈까스,734
금요일,10,도시락죽,689
금요일,10,치킨,586
금요일,10,아시안,375
금요일,10,족발보쌈,351
금요일,10,중식,344
금요일,10,피자양식,316
금요일,10,야식,203
금요일,10,회초밥,156
금요일,11,한식,16551
금요일,11,분식,16514
금요일,11,카페디저트,9737
금요일,11,버거,9482
금요일,11,일식돈까스,6178
금요일,11,찜탕,4673
금요일,11,중식,4505
금요일,11,치킨,3543
금요일,11,아시안,3308
금요일,11,도시락죽,3075
금요일,11,피자양식,3048
금요일,11,족발보쌈,2288
금요일,11,야식,725
금요일,11,회초밥,405
금요일,12,한식,18768
금요일,12,분식,18311
금요일,12,버거,11079
금요일,12,카페디저트,10923
금요일,12,치킨,7810
금요일,12,일식돈까스,7736
금요일,12,중식,5745
금요일,12,찜탕,4604
금요일,12,피자양식,4503
금요일,12,아시안,4416
금요일,12,족발보쌈,3003
금요일,12,도시락죽,2965
금요일,12,야식,1167
금요일,12,회초밥,561
금요일,13,한식,12682
금요일,13,분식,12562
금요일,13,카페디저트,11124
금요일,13,버거,8667
금요일,13,치킨,7393
금요일,13,일식돈까스,5446
금요일,13,중식,4051
금요일,13,피자양식,3477
금요일,13,아시안,3289
금요일,13,찜탕,2774
금요일,13,족발보쌈,2075
금요일,13,도시락죽,1661
금요일,13,야식,882
금요일,13,회초밥,522
금요일,14,카페디저트,11761
금요일,14,분식,9526
금요일,14,한식,8884
금요일,14,치킨,7116
금요일,14,버거,7011
금요일,14,일식돈까스,3834
금요일,14,피자양식,3009
금요일,14,중식,2531
금요일,14,아시안,2281
금요일,14,찜탕,2087
금요일,14,족발보쌈,1814
금요일,14,도시락죽,1314
금요일,14,야식,816
금요일,14,회초밥,448
금요일,15,카페디저트,11110
금요일,15,분식,8740
금요일,15,치킨,8426
금요일,15,한식,7097
금요일,15,버거,6368
금요일,15,피자양식,2959
금요일,15,일식돈까스,2797
금요일,15,족발보쌈,2063
금요일,15,찜탕,1804
금요일,15,중식,1796
금요일,15,아시안,1695
금요일,15,도시락죽,1499
금요일,15,야식,962
금요일,15,회초밥,502
