id,region,name,rating,address,phone,food_type,price,parking,hour,img_url_1,img_url_2,img_url_3
0,강남구,알라프리마,4.8,서울특별시 강남구 학동로17길 13 1F,02-511-2555,이탈리안,4만원 이상,무료주차 가능,12:00 - 21:00,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/63176_1468144532794478.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/219116/488522_1639565714575_24420?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/219116/488522_1639565714575_24422?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
1,강남구,미라이,4.8,서울특별시 강남구 논현로153길 24 끌레르빌 1F,02-540-0934,이자카야 / 오뎅 / 꼬치,3만원-4만원,주차공간없음,18:00 - 01:00,"https://mp-seoul-image-production-s3.mangoplate.com/281547/753280_1550146766591_11966?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/2143863_1640888137748943.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/2143863_1640888138219411.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
2,강남구,시라카와,4.8,서울특별시 강남구 선릉로161길 7 1F,070-4115-4769,이자카야 / 오뎅 / 꼬치,2만원-3만원,발렛,17:00 - 23:00,"https://mp-seoul-image-production-s3.mangoplate.com/513273_1598598343472200.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/398757/397785_1637717124451_38279?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/398757/397785_1637717124451_38280?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
3,강남구,가디록,4.8,서울특별시 강남구 도산대로45길 18-4 2F,02-6404-6815,이탈리안,4만원 이상,발렛,12:00 - 22:00,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/1427_1487514113650603.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/1047892_1636712309443277.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/1047892_1636712310287498.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
4,강남구,맛짱조개,4.8,서울특별시 강남구 언주로136길 10,02-516-4787,해산물 요리,만원-2만원,주차공간없음,17:00 - 04:00,"https://mp-seoul-image-production-s3.mangoplate.com/217140/113339_1455123126639_1862?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/217140/1705210_1640590148765_8968?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/217140/1705210_1640590148765_8969?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
5,강남구,스시카나에,4.7,서울특별시 강남구 도산대로75길 15 노노빌딩 2F,02-516-3350,회 / 스시,4만원 이상,발렛,12:00 - 22:00,"https://mp-seoul-image-production-s3.mangoplate.com/384189/244033_1561689612351_356009?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/384189/434101_1639492169283_32361?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/384189/434101_1639492169284_32366?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
6,강남구,파씨오네,4.7,서울특별시 강남구 언주로164길 39,02-546-7719,프랑스 음식,4만원 이상,발렛,12:00 - 22:30,"https://mp-seoul-image-production-s3.mangoplate.com/13936/704481_1492338122499_12072?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/689979_1640085941913382.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/689979_1640086005812599.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
7,강남구,로바타탄요,4.7,서울특별시 강남구 압구정로28길 49 109호,02-6339-9667,정통 일식 / 일반 일식,2만원-3만원,발렛,17:00 - 22:00,"https://mp-seoul-image-production-s3.mangoplate.com/sources/web/restaurants/342832/47875_1548135384309?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/47875_1635837491724298.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/47875_1635837602951245.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
8,강남구,인딕 슬로우,4.7,서울특별시 강남구 압구정로4길 13 1F,02-511-0139,인도 음식,만원-2만원,발렛,11:30 - 21:30,"https://mp-seoul-image-production-s3.mangoplate.com/364458_1513405622602061.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/2029123_1640713714512445.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/2029123_1640713715076020.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
9,강남구,삐아프,4.7,서울특별시 강남구 압구정로4길 27-3,02-545-0317,카페 / 디저트,만원-2만원,무료주차 가능,12:00 - 19:30,"https://mp-seoul-image-production-s3.mangoplate.com/851442_1504963162996949.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/180/488522_1639593249305_20640?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","https://mp-seoul-image-production-s3.mangoplate.com/180/488522_1639593249305_20639?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
